id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
39401,Argentina,Capital Federal,Palermo,4,3,3,135,135,415000
39402,Argentina,Capital Federal,Barrio Norte,4,3,1,110,103,275000
39403,Argentina,Capital Federal,Palermo,4,3,2,77,74,220000
39404,Argentina,Capital Federal,Colegiales,4,3,1,56,54,129000
39405,Argentina,Capital Federal,Caballito,5,3,1,90,85,205000
39406,Argentina,Capital Federal,Caballito,4,3,3,183,137,450000
39407,Argentina,Capital Federal,Caballito,4,3,4,160,150,168000
39408,Argentina,Capital Federal,Caballito,4,3,1,90,85,205000
39409,Argentina,Capital Federal,Recoleta,4,3,1,110,103,275000
39410,Argentina,Capital Federal,Balvanera,4,3,2,87,79,198000
39411,Argentina,Capital Federal,Villa Crespo,4,3,1,105,96,225000
